Kontener{masa=788, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 0 Pozycja: 0
Kontener{masa=615, producent='Matson', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 0 Pozycja: 21
Kontener{masa=2562, producent='CMA CMG', towar='Banany'} Poziom: 0 Kolumna: 0 Pozycja: 22
Kontener{masa=343, producent='Swire', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 0 Pozycja: 23
Kontener{masa=163, producent='COSCO', towar='Telewizor'} Poziom: 0 Kolumna: 0 Pozycja: 24
Kontener{masa=752, producent='Matson', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 0 Pozycja: 25
Kontener{masa=1030, producent='Swire', towar='Ropa'} Poziom: 0 Kolumna: 0 Pozycja: 26
Kontener{masa=828, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 0 Pozycja: 27
Kontener{masa=308, producent='Evergreen', towar='Telefon'} Poziom: 0 Kolumna: 0 Pozycja: 28
Kontener{masa=649, producent='Evergreen', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 0 Pozycja: 29
Kontener{masa=1863, producent='CMA CMG', towar='Kwas'} Poziom: 0 Kolumna: 1 Pozycja: 0
Kontener{masa=2846, producent='CMA CMG', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 1
Kontener{masa=331, producent='CMA CMG', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 1 Pozycja: 2
Kontener{masa=988, producent='Maersk', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 1 Pozycja: 3
Kontener{masa=471, producent='Maersk', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 1 Pozycja: 4
Kontener{masa=672, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 1 Pozycja: 5
Kontener{masa=40, producent='Evergreen', towar='Telewizor'} Poziom: 0 Kolumna: 1 Pozycja: 6
Kontener{masa=442, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 1 Pozycja: 7
Kontener{masa=724, producent='CMA CMG', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 1 Pozycja: 8
Kontener{masa=802, producent='Maersk', towar='Procesor'} Poziom: 0 Kolumna: 1 Pozycja: 9
Kontener{masa=9986, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 10
Kontener{masa=9983, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 11
Kontener{masa=9980, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 12
Kontener{masa=9977, producent='Swire', towar='Farba'} Poziom: 0 Kolumna: 1 Pozycja: 13
Kontener{masa=9977, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 14
Kontener{masa=9974, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 15
Kontener{masa=9972, producent='Swire', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 1 Pozycja: 16
Kontener{masa=9969, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 17
Kontener{masa=9969, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 18
Kontener{masa=9969, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 1 Pozycja: 19
Kontener{masa=442, producent='COSCO', towar='Telewizor'} Poziom: 0 Kolumna: 1 Pozycja: 20
Kontener{masa=504, producent='Matson', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 1 Pozycja: 21
Kontener{masa=546, producent='Evergreen', towar='Komputer'} Poziom: 0 Kolumna: 1 Pozycja: 22
Kontener{masa=51, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 1 Pozycja: 23
Kontener{masa=415, producent='Maersk', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 1 Pozycja: 24
Kontener{masa=1022, producent='COSCO', towar='Kwas'} Poziom: 0 Kolumna: 1 Pozycja: 25
Kontener{masa=662, producent='Evergreen', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 1 Pozycja: 26
Kontener{masa=137, producent='Evergreen', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 1 Pozycja: 27
Kontener{masa=661, producent='Evergreen', towar='Kwas'} Poziom: 0 Kolumna: 1 Pozycja: 28
Kontener{masa=803, producent='CMA CMG', towar='Telefon'} Poziom: 0 Kolumna: 1 Pozycja: 29
Kontener{masa=212, producent='Evergreen', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 2 Pozycja: 0
Kontener{masa=286, producent='Evergreen', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 2 Pozycja: 1
Kontener{masa=487, producent='Evergreen', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 2 Pozycja: 2
Kontener{masa=453, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 2 Pozycja: 3
Kontener{masa=262, producent='CMA CMG', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 2 Pozycja: 4
Kontener{masa=130, producent='Evergreen', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 2 Pozycja: 5
Kontener{masa=50, producent='Swire', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 2 Pozycja: 6
Kontener{masa=390, producent='Swire', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 2 Pozycja: 7
Kontener{masa=1705, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 8
Kontener{masa=959, producent='Evergreen', towar='Telefon'} Poziom: 0 Kolumna: 2 Pozycja: 9
Kontener{masa=9967, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 10
Kontener{masa=9966, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 11
Kontener{masa=9963, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 12
Kontener{masa=9962, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 13
Kontener{masa=9958, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 14
Kontener{masa=9958, producent='Matson', towar='Farba'} Poziom: 0 Kolumna: 2 Pozycja: 15
Kontener{masa=9957, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 16
Kontener{masa=9957, producent='Matson', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 2 Pozycja: 17
Kontener{masa=9956, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 18
Kontener{masa=9952, producent='CMA CMG', towar='Ropa'} Poziom: 0 Kolumna: 2 Pozycja: 19
Kontener{masa=2815, producent='Maersk', towar='Ropa'} Poziom: 0 Kolumna: 2 Pozycja: 20
Kontener{masa=322, producent='Swire', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 2 Pozycja: 21
Kontener{masa=790, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 2 Pozycja: 22
Kontener{masa=758, producent='CMA CMG', towar='Procesor'} Poziom: 0 Kolumna: 2 Pozycja: 23
Kontener{masa=2178, producent='Maersk', towar='Farba'} Poziom: 0 Kolumna: 2 Pozycja: 24
Kontener{masa=2189, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 2 Pozycja: 25
Kontener{masa=420, producent='COSCO', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 2 Pozycja: 26
Kontener{masa=679, producent='COSCO', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 2 Pozycja: 27
Kontener{masa=840, producent='Swire', towar='Telefon'} Poziom: 0 Kolumna: 2 Pozycja: 28
Kontener{masa=726, producent='Swire', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 2 Pozycja: 29
Kontener{masa=141, producent='Evergreen', towar='Telewizor'} Poziom: 0 Kolumna: 3 Pozycja: 0
Kontener{masa=23, producent='Swire', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 3 Pozycja: 1
Kontener{masa=113, producent='Swire', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 3 Pozycja: 2
Kontener{masa=610, producent='Evergreen', towar='Komputer'} Poziom: 0 Kolumna: 3 Pozycja: 3
Kontener{masa=2428, producent='COSCO', towar='Farba'} Poziom: 0 Kolumna: 3 Pozycja: 4
Kontener{masa=55, producent='Evergreen', towar='Procesor'} Poziom: 0 Kolumna: 3 Pozycja: 5
Kontener{masa=530, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 3 Pozycja: 6
Kontener{masa=339, producent='Swire', towar='Telewizor'} Poziom: 0 Kolumna: 3 Pozycja: 7
Kontener{masa=974, producent='Swire', towar='Komputer'} Poziom: 0 Kolumna: 3 Pozycja: 8
Kontener{masa=891, producent='Matson', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 3 Pozycja: 9
Kontener{masa=9951, producent='Matson', towar='Farba'} Poziom: 0 Kolumna: 3 Pozycja: 10
Kontener{masa=9950, producent='Matson', towar='Ropa'} Poziom: 0 Kolumna: 3 Pozycja: 11
Kontener{masa=9949, producent='COSCO', towar='Ropa'} Poziom: 0 Kolumna: 3 Pozycja: 12
Kontener{masa=9949, producent='COSCO', towar='Ropa'} Poziom: 0 Kolumna: 3 Pozycja: 13
Kontener{masa=9940, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 3 Pozycja: 14
Kontener{masa=9940, producent='Maersk', towar='Farba'} Poziom: 0 Kolumna: 3 Pozycja: 15
Kontener{masa=9938, producent='CMA CMG', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 3 Pozycja: 16
Kontener{masa=9934, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 3 Pozycja: 17
Kontener{masa=9933, producent='Matson', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 3 Pozycja: 18
Kontener{masa=9933, producent='Maersk', towar='Ropa'} Poziom: 0 Kolumna: 3 Pozycja: 19
Kontener{masa=32, producent='Evergreen', towar='Telewizor'} Poziom: 0 Kolumna: 3 Pozycja: 20
Kontener{masa=572, producent='Matson', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 3 Pozycja: 21
Kontener{masa=474, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 3 Pozycja: 22
Kontener{masa=663, producent='Swire', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 3 Pozycja: 23
Kontener{masa=889, producent='Evergreen', towar='Telefon'} Poziom: 0 Kolumna: 3 Pozycja: 24
Kontener{masa=268, producent='Evergreen', towar='Komputer'} Poziom: 0 Kolumna: 3 Pozycja: 25
Kontener{masa=3153, producent='COSCO', towar='Farba'} Poziom: 0 Kolumna: 3 Pozycja: 26
Kontener{masa=404, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 3 Pozycja: 27
Kontener{masa=516, producent='COSCO', towar='Telewizor'} Poziom: 0 Kolumna: 3 Pozycja: 28
Kontener{masa=2840, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 3 Pozycja: 29
Kontener{masa=510, producent='CMA CMG', towar='Komputer'} Poziom: 0 Kolumna: 4 Pozycja: 0
Kontener{masa=59, producent='COSCO', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 4 Pozycja: 1
Kontener{masa=50, producent='Matson', towar='Telefon'} Poziom: 0 Kolumna: 4 Pozycja: 2
Kontener{masa=1839, producent='CMA CMG', towar='Ropa'} Poziom: 0 Kolumna: 4 Pozycja: 3
Kontener{masa=146, producent='Swire', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 4 Pozycja: 4
Kontener{masa=3025, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 4 Pozycja: 5
Kontener{masa=505, producent='Evergreen', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 4 Pozycja: 6
Kontener{masa=476, producent='Maersk', towar='Telefon'} Poziom: 0 Kolumna: 4 Pozycja: 7
Kontener{masa=795, producent='Swire', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 4 Pozycja: 8
Kontener{masa=3089, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 4 Pozycja: 9
Kontener{masa=9930, producent='CMA CMG', towar='Ropa'} Poziom: 0 Kolumna: 4 Pozycja: 10
Kontener{masa=9930, producent='CMA CMG', towar='Farba'} Poziom: 0 Kolumna: 4 Pozycja: 11
Kontener{masa=9929, producent='COSCO', towar='Ropa'} Poziom: 0 Kolumna: 4 Pozycja: 12
Kontener{masa=9927, producent='Evergreen', towar='Farba'} Poziom: 0 Kolumna: 4 Pozycja: 13
Kontener{masa=9926, producent='Matson', towar='Ropa'} Poziom: 0 Kolumna: 4 Pozycja: 14
Kontener{masa=9926, producent='Evergreen', towar='Kwas'} Poziom: 0 Kolumna: 4 Pozycja: 15
Kontener{masa=9925, producent='Matson', towar='Ropa'} Poziom: 0 Kolumna: 4 Pozycja: 16
Kontener{masa=9924, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 4 Pozycja: 17
Kontener{masa=9923, producent='Swire', towar='Kwas'} Poziom: 0 Kolumna: 4 Pozycja: 18
Kontener{masa=9921, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 4 Pozycja: 19
Kontener{masa=121, producent='Swire', towar='Telewizor'} Poziom: 0 Kolumna: 4 Pozycja: 20
Kontener{masa=357, producent='Maersk', towar='Telewizor'} Poziom: 0 Kolumna: 4 Pozycja: 21
Kontener{masa=750, producent='Matson', towar='Komputer'} Poziom: 0 Kolumna: 4 Pozycja: 22
Kontener{masa=255, producent='Matson', towar='Komputer'} Poziom: 0 Kolumna: 4 Pozycja: 23
Kontener{masa=585, producent='Swire', towar='Komputer'} Poziom: 0 Kolumna: 4 Pozycja: 24
Kontener{masa=891, producent='CMA CMG', towar='Telefon'} Poziom: 0 Kolumna: 4 Pozycja: 25
Kontener{masa=42, producent='COSCO', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 4 Pozycja: 26
Kontener{masa=778, producent='Matson', towar='Komputer'} Poziom: 0 Kolumna: 4 Pozycja: 27
Kontener{masa=527, producent='Matson', towar='Telefon'} Poziom: 0 Kolumna: 4 Pozycja: 28
Kontener{masa=177, producent='COSCO', towar='Komputer'} Poziom: 0 Kolumna: 4 Pozycja: 29
Kontener{masa=339, producent='Maersk', towar='Komputer'} Poziom: 0 Kolumna: 5 Pozycja: 0
Kontener{masa=2422, producent='Evergreen', towar='Kwas'} Poziom: 0 Kolumna: 5 Pozycja: 1
Kontener{masa=2939, producent='Maersk', towar='Ropa'} Poziom: 0 Kolumna: 5 Pozycja: 2
Kontener{masa=948, producent='Maersk', towar='Telewizor'} Poziom: 0 Kolumna: 5 Pozycja: 3
Kontener{masa=375, producent='CMA CMG', towar='Kwas'} Poziom: 0 Kolumna: 5 Pozycja: 4
Kontener{masa=174, producent='CMA CMG', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 5 Pozycja: 5
Kontener{masa=964, producent='Swire', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 5 Pozycja: 6
Kontener{masa=297, producent='Swire', towar='Procesor'} Poziom: 0 Kolumna: 5 Pozycja: 7
Kontener{masa=431, producent='CMA CMG', towar='Telewizor'} Poziom: 0 Kolumna: 5 Pozycja: 8
Kontener{masa=896, producent='COSCO', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 5 Pozycja: 9
Kontener{masa=9921, producent='CMA CMG', towar='Ropa'} Poziom: 0 Kolumna: 5 Pozycja: 10
Kontener{masa=9918, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 11
Kontener{masa=9916, producent='Evergreen', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 5 Pozycja: 12
Kontener{masa=9915, producent='COSCO', towar='Ropa'} Poziom: 0 Kolumna: 5 Pozycja: 13
Kontener{masa=9911, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 14
Kontener{masa=9911, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 15
Kontener{masa=9910, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 16
Kontener{masa=9909, producent='Matson', towar='Farba'} Poziom: 0 Kolumna: 5 Pozycja: 17
Kontener{masa=9908, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 18
Kontener{masa=9906, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 19
Kontener{masa=292, producent='Matson', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 5 Pozycja: 20
Kontener{masa=454, producent='Evergreen', towar='Komputer'} Poziom: 0 Kolumna: 5 Pozycja: 21
Kontener{masa=1578, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 22
Kontener{masa=3016, producent='Maersk', towar='Farba'} Poziom: 0 Kolumna: 5 Pozycja: 23
Kontener{masa=146, producent='Swire', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 5 Pozycja: 24
Kontener{masa=1563, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 25
Kontener{masa=739, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 5 Pozycja: 26
Kontener{masa=2979, producent='Matson', towar='Farba'} Poziom: 0 Kolumna: 5 Pozycja: 27
Kontener{masa=2430, producent='CMA CMG', towar='Banany'} Poziom: 0 Kolumna: 5 Pozycja: 28
Kontener{masa=401, producent='CMA CMG', towar='Komputer'} Poziom: 0 Kolumna: 5 Pozycja: 29
Kontener{masa=132, producent='Matson', towar='Komputer'} Poziom: 0 Kolumna: 6 Pozycja: 0
Kontener{masa=617, producent='COSCO', towar='Telewizor'} Poziom: 0 Kolumna: 6 Pozycja: 1
Kontener{masa=643, producent='Matson', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 6 Pozycja: 2
Kontener{masa=599, producent='CMA CMG', towar='Ropa'} Poziom: 0 Kolumna: 6 Pozycja: 3
Kontener{masa=462, producent='Swire', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 6 Pozycja: 4
Kontener{masa=2495, producent='Matson', towar='Farba'} Poziom: 0 Kolumna: 6 Pozycja: 5
Kontener{masa=634, producent='Evergreen', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 6 Pozycja: 6
Kontener{masa=808, producent='Maersk', towar='Telewizor'} Poziom: 0 Kolumna: 6 Pozycja: 7
Kontener{masa=240, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 6 Pozycja: 8
Kontener{masa=456, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 6 Pozycja: 9
Kontener{masa=9906, producent='COSCO', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 6 Pozycja: 10
Kontener{masa=9901, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 6 Pozycja: 11
Kontener{masa=9900, producent='CMA CMG', towar='Kwas'} Poziom: 0 Kolumna: 6 Pozycja: 12
Kontener{masa=9899, producent='COSCO', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 6 Pozycja: 13
Kontener{masa=9898, producent='Maersk', towar='Kwas'} Poziom: 0 Kolumna: 6 Pozycja: 14
Kontener{masa=9898, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 6 Pozycja: 15
Kontener{masa=9895, producent='Maersk', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 6 Pozycja: 16
Kontener{masa=9894, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 6 Pozycja: 17
Kontener{masa=9894, producent='COSCO', towar='Kwas'} Poziom: 0 Kolumna: 6 Pozycja: 18
Kontener{masa=9890, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 6 Pozycja: 19
Kontener{masa=234, producent='Maersk', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 6 Pozycja: 20
Kontener{masa=655, producent='Matson', towar='Telefon'} Poziom: 0 Kolumna: 6 Pozycja: 21
Kontener{masa=441, producent='Maersk', towar='Telewizor'} Poziom: 0 Kolumna: 6 Pozycja: 22
Kontener{masa=718, producent='Maersk', towar='Telewizor'} Poziom: 0 Kolumna: 6 Pozycja: 23
Kontener{masa=269, producent='Maersk', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 6 Pozycja: 24
Kontener{masa=243, producent='CMA CMG', towar='Banany'} Poziom: 0 Kolumna: 6 Pozycja: 25
Kontener{masa=54, producent='COSCO', towar='Telewizor'} Poziom: 0 Kolumna: 6 Pozycja: 26
Kontener{masa=1389, producent='CMA CMG', towar='Farba'} Poziom: 0 Kolumna: 6 Pozycja: 27
Kontener{masa=581, producent='Evergreen', towar='Sok pomarańczowy'} Poziom: 0 Kolumna: 6 Pozycja: 28
Kontener{masa=1128, producent='COSCO', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 6 Pozycja: 29
Kontener{masa=884, producent='Evergreen', towar='Telefon'} Poziom: 0 Kolumna: 7 Pozycja: 0
Kontener{masa=772, producent='Matson', towar='Komputer'} Poziom: 0 Kolumna: 7 Pozycja: 1
Kontener{masa=1478, producent='Evergreen', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 7 Pozycja: 2
Kontener{masa=708, producent='CMA CMG', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 7 Pozycja: 3
Kontener{masa=507, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 7 Pozycja: 4
Kontener{masa=2352, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 5
Kontener{masa=457, producent='COSCO', towar='Procesor'} Poziom: 0 Kolumna: 7 Pozycja: 6
Kontener{masa=2093, producent='CMA CMG', towar='Farba'} Poziom: 0 Kolumna: 7 Pozycja: 7
Kontener{masa=510, producent='Matson', towar='Telewizor'} Poziom: 0 Kolumna: 7 Pozycja: 8
Kontener{masa=3027, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 9
Kontener{masa=9887, producent='COSCO', towar='Kwas'} Poziom: 0 Kolumna: 7 Pozycja: 10
Kontener{masa=9886, producent='CMA CMG', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 11
Kontener{masa=9885, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 12
Kontener{masa=9885, producent='Swire', towar='Rozpuszczalnik'} Poziom: 0 Kolumna: 7 Pozycja: 13
Kontener{masa=9884, producent='Evergreen', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 14
Kontener{masa=9883, producent='COSCO', towar='Ropa'} Poziom: 0 Kolumna: 7 Pozycja: 15
Kontener{masa=9883, producent='Matson', towar='Farba'} Poziom: 0 Kolumna: 7 Pozycja: 16
Kontener{masa=9881, producent='Evergreen', towar='Farba'} Poziom: 0 Kolumna: 7 Pozycja: 17
Kontener{masa=9881, producent='CMA CMG', towar='Kwas'} Poziom: 0 Kolumna: 7 Pozycja: 18
Kontener{masa=9879, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 19
Kontener{masa=819, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 7 Pozycja: 20
Kontener{masa=725, producent='Evergreen', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 7 Pozycja: 21
Kontener{masa=2972, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 7 Pozycja: 22
Kontener{masa=630, producent='Matson', towar='Telewizor'} Poziom: 0 Kolumna: 7 Pozycja: 23
Kontener{masa=623, producent='Swire', towar='Telefon'} Poziom: 0 Kolumna: 7 Pozycja: 24
Kontener{masa=601, producent='Evergreen', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 7 Pozycja: 25
Kontener{masa=718, producent='Swire', towar='Procesor'} Poziom: 0 Kolumna: 7 Pozycja: 26
Kontener{masa=420, producent='Evergreen', towar='Telefon'} Poziom: 0 Kolumna: 7 Pozycja: 27
Kontener{masa=696, producent='Matson', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 7 Pozycja: 28
Kontener{masa=608, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 7 Pozycja: 29
Kontener{masa=162, producent='CMA CMG', towar='Komputer'} Poziom: 0 Kolumna: 8 Pozycja: 0
Kontener{masa=426, producent='Evergreen', towar='Procesor'} Poziom: 0 Kolumna: 8 Pozycja: 1
Kontener{masa=900, producent='Swire', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 8 Pozycja: 2
Kontener{masa=1697, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 8 Pozycja: 3
Kontener{masa=166, producent='COSCO', towar='Kwas'} Poziom: 0 Kolumna: 8 Pozycja: 4
Kontener{masa=82, producent='Matson', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 8 Pozycja: 5
Kontener{masa=853, producent='Evergreen', towar='Telewizor'} Poziom: 0 Kolumna: 8 Pozycja: 6
Kontener{masa=341, producent='CMA CMG', towar='Telefon'} Poziom: 0 Kolumna: 8 Pozycja: 7
Kontener{masa=449, producent='Maersk', towar='Sok jabłkowy'} Poziom: 0 Kolumna: 8 Pozycja: 8
Kontener{masa=23, producent='CMA CMG', towar='Procesor'} Poziom: 0 Kolumna: 8 Pozycja: 9
Kontener{masa=9878, producent='Matson', towar='Banany'} Poziom: 0 Kolumna: 8 Pozycja: 10
Kontener{masa=9876, producent='Evergreen', towar='Farba'} Poziom: 0 Kolumna: 8 Pozycja: 11
Kontener{masa=9874, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 8 Pozycja: 12
